Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
KMCE,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",23877,23877,61882,72122,37395,37395,45718,45718,35788,35788,77348,121469,102421,102421,119828,141584,25432,26040
KMCE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,28164,28164,62145,62145,39588,39588,32423,32423,34559,36371,96442,96442,135939,135939,120176,144929,28450,28450
KMEC,CSE,COMPUTER SCIENCE AND ENGINEERING,16564,16564,42322,42360,22856,25224,42797,50052,22281,23563,51062,54831,49264,151027,92436,112977,18173,18173
KMEC,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",16449,16449,33146,35795,23682,23682,16449,52647,23019,23019,54330,54330,16449,16449,97198,97198,18219,18219
KMIT,CSE,COMPUTER SCIENCE AND ENGINEERING,4512,5268,13636,13999,6740,7363,19840,19840,6324,6927,12188,15980,30226,50878,28734,34129,4948,5578
KMIT,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",4835,5878,14204,15231,7215,8189,11841,15180,6826,7970,10490,10702,24216,83848,30280,38387,5135,6029
KNRR,CIV,CIVIL ENGINEERING,108253,108253,138551,138551,146351,146351,108253,108253,127812,146610,146847,146847,143068,143068,143713,148284,108253,108253
KNRR,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),70836,70836,96614,132025,93907,93907,78014,78014,84278,102801,128540,128540,70836,70836,146395,146833,86949,102713
KNRR,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),72585,72585,114859,114859,109777,109777,72585,72585,93878,93878,128526,128526,72585,72585,144241,144422,96924,96924
KNRR,CSE,COMPUTER SCIENCE AND ENGINEERING,64156,64547,131693,132247,104082,104082,66609,66609,93332,93332,135182,135182,142839,142839,139195,148661,100818,100818
KNRR,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",53968,53968,97472,97472,80351,80351,53968,93454,83140,89310,117027,117027,53968,137323,137289,137289,83337,85237
KNRR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,66090,66090,125783,125783,122317,122317,66090,66090,96515,96515,97828,121935,66090,66090,141796,141796,106825,107197
KNRR,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,75481,75481,133504,133504,116897,121616,116111,116111,119279,121127,75481,127681,75481,75481,138321,141050,133933,133933
KNRR,MEC,MECHANICAL ENGINEERING,128966,128966,148654,148654,150032,150883,128966,128966,128966,149306,149477,149477,128966,128966,150958,150958,128966,128966
KPRC,CSE,COMPUTER SCIENCE AND ENGINEERING,62141,62141,132722,132722,80178,80527,62141,67259,78208,78208,129178,132846,142687,146409,144075,149732,75967,77939
KPRC,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",60013,64935,127695,127695,82582,85791,60013,64935,82009,82009,128982,128982,60013,64935,146103,146912,80489,80489
KPRT,CIV,CIVIL ENGINEERING,51184,51184,119095,134962,140097,140097,130076,133792,103203,103203,51184,51184,149293,149293,146043,146043,51184,51184
KPRT,CSE,COMPUTER SCIENCE AND ENGINEERING,48769,49372,112293,120146,75496,75496,107770,107770,71112,71112,121197,127434,137799,137799,137503,151050,62492,62492
